id,state_name,inec_code,geographical_name,state_full_name,type,cscdb_country_id,cscdb_country_code,cscdb_country_name,cscdb_latitude,cscdb_longitude
1,ABIA,AB,Abia State,ABIA STATE,state,161,NG,Nigeria,5.4527354,7.5248414
2,ADAMAWA,AD,Adamawa State,ADAMAWA STATE,state,161,NG,Nigeria,9.3264751,12.3983853
3,AKWA IBOM,AK,Akwa Ibom State,AKWA IBOM STATE,state,161,NG,Nigeria,4.9057371,7.8536675
4,ANAMBRA,AN,Anambra State,ANAMBRA STATE,state,161,NG,Nigeria,6.2208997,6.9369559
5,BAUCHI,BA,Bauchi State,BAUCHI STATE,state,161,NG,Nigeria,10.7760624,9.9991943
6,BAYELSA,BY,Bayelsa State,BAYELSA STATE,state,161,NG,Nigeria,4.7719071,6.0698526
7,BENUE,BN,Benue State,BENUE STATE,state,161,NG,Nigeria,7.3369024,8.7403687
8,BORNO,BR,Borno State,BORNO STATE,state,161,NG,Nigeria,11.8846356,13.1519665
9,CROSS RIVER,CR,Cross River State,CROSS RIVER STATE,state,161,NG,Nigeria,5.8701724,8.5988014
10,DELTA,DT,Delta State,DELTA STATE,state,161,NG,Nigeria,33.7453784,-90.7354508
11,EBONYI,EB,Ebonyi State,EBONYI STATE,state,161,NG,Nigeria,6.2649232,8.0137302
12,EDO,ED,Edo State,EDO STATE,state,161,NG,Nigeria,6.6341831,5.9304056
13,EKITI,EK,Ekiti State,EKITI STATE,state,161,NG,Nigeria,7.7189862,5.3109505
14,ENUGU,EN,Enugu State,ENUGU STATE,state,161,NG,Nigeria,6.536353,7.4356194
15,FCT,FCT,Federal Capital Territory,ABUJA FEDERAL CAPITAL TERRITORY,capital territory,161,NG,Nigeria,8.8940691,7.1860402
16,GOMBE,GM,Gombe State,GOMBE STATE,state,161,NG,Nigeria,10.3637795,11.1927587
17,IMO,IM,Imo State,IMO STATE,state,161,NG,Nigeria,5.5720122,7.0588219
18,JIGAWA,JG,Jigawa State,JIGAWA STATE,state,161,NG,Nigeria,12.228012,9.5615867
19,KADUNA,KD,Kaduna State,KADUNA STATE,state,161,NG,Nigeria,10.3764006,7.7094537
20,KANO,KN,Kano State,KANO STATE,state,161,NG,Nigeria,11.7470698,8.5247107
21,KATSINA,KT,Katsina State,KATSINA STATE,state,161,NG,Nigeria,12.3796707,7.6305748
22,KEBBI,KB,Kebbi State,KEBBI STATE,state,161,NG,Nigeria,11.4942003,4.2333355
23,KOGI,KG,Kogi State,KOGI STATE,state,161,NG,Nigeria,7.7337325,6.6905836
24,KWARA,KW,Kwara State,KWARA STATE,state,161,NG,Nigeria,8.9668961,4.3874051
25,LAGOS,LA,Lagos State,LAGOS STATE,state,161,NG,Nigeria,6.5243793,3.3792057
26,NASARAWA,NW,Nasarawa State,NASARAWA STATE,state,161,NG,Nigeria,8.4997908,8.1996937
27,NIGER,NG,Niger State,NIGER STATE,state,161,NG,Nigeria,9.9309224,5.598321
28,OGUN,OG,Ogun State,OGUN STATE,state,161,NG,Nigeria,6.9979747,3.4737378
29,ONDO,OD,Ondo State,ONDO STATE,state,161,NG,Nigeria,6.9148682,5.1478144
30,OSUN,OS,Osun State,OSUN STATE,state,161,NG,Nigeria,7.5628964,4.5199593
31,OYO,OY,Oyo State,OYO STATE,state,161,NG,Nigeria,8.1573809,3.6146534
32,PLATEAU,PL,Plateau State,PLATEAU STATE,state,161,NG,Nigeria,9.2182093,9.5179488
33,RIVERS,RV,Rivers State,RIVERS STATE,state,161,NG,Nigeria,5.021342,6.4376022
34,SOKOTO,SO,Sokoto State,SOKOTO STATE,state,161,NG,Nigeria,13.0533143,5.3222722
35,TARABA,TR,Taraba State,TARABA STATE,state,161,NG,Nigeria,7.9993616,10.7739863
36,YOBE,YB,Yobe State,YOBE STATE,state,161,NG,Nigeria,12.293876,11.4390411
37,ZAMFARA,ZF,Zamfara State,ZAMFARA STATE,state,161,NG,Nigeria,12.1221805,6.2235819
